날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-19,08:56,지출,생활,통신,휴대폰 요금,-103500,KRW,카카오뱅크 입출금통장,,P082,P082-T0004,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200004
2026-06-18,21:17,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-33800,KRW,어피치 스윗 체크카드,,P082,P082-T0056,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000011;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000011
2026-06-18,12:39,지출,생활,마트,홈플러스,-29100,KRW,신한 Deep Dream 체크,,P082,P082-T0108,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000037;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000037
2026-06-17,22:17,지출,온라인쇼핑,인터넷쇼핑,11번가,-49000,KRW,네이버페이 간편결제,,P082,P082-T0063,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00002
2026-06-17,19:20,지출,카페/간식,커피/음료,스타벅스 합정점,-2600,KRW,네이버페이 간편결제,,P082,P082-T0042,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00001;efinance/전금-004-네이버페이_머니.json#WP08200001
2026-06-17,14:24,지출,생활,서비스구독,노션,-38700,KRW,신한 Deep Dream 체크,,P082,P082-T0060,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000019;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000019
2026-06-17,13:20,지출,금융,보험,실손보험료,-42500,KRW,카카오뱅크 입출금통장,,P082,P082-T0007,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200005
2026-06-17,10:55,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-47500,KRW,어피치 스윗 체크카드,,P082,P082-T0052,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000010;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000010
2026-06-16,21:09,지출,식비,한식,두끼 노량진역점,-21500,KRW,어피치 스윗 체크카드,,P082,P082-T0116,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000028;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000028
2026-06-16,19:56,지출,카페/간식,디저트/떡,파리바게뜨,-8500,KRW,어피치 스윗 체크카드,,P082,P082-T0113,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000027;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000027
2026-06-16,18:09,지출,식비,한식,김밥천국 홍대점,-18100,KRW,토스 간편결제,,P082,P082-T0041,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00003
2026-06-16,13:08,지출,식비,한식,한솥도시락 신촌점,-19700,KRW,카카오페이 간편결제,,P082,P082-T0019,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00001;efinance/전금-004-카카오페이_머니.json#WP08200001
2026-06-16,11:39,지출,문화/여가,도서,알라딘,-33200,KRW,카카오뱅크 입출금통장,,P082,P082-T0053,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200016
2026-06-16,09:57,이체,투자,국내주식/ETF,KODEX 코스닥150 15주 매수,-195100,KRW,카카오뱅크 입출금통장,,P082,P082-T0011,투자,P082-BANK-MAIN->P082-INV-001,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200009;invest/금투-003-토스증권_계좌.json#STKP0820001
2026-06-15,22:37,지출,교통,대중교통,티머니,-6000,KRW,카카오페이 간편결제,,P082,P082-T0061,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00010;efinance/전금-004-카카오페이_머니.json#WP08200005
2026-06-15,15:58,지출,생활,서비스구독,넷플릭스,-38000,KRW,신한 Deep Dream 체크,,P082,P082-T0117,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000041;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000041
2026-06-15,15:39,지출,생활,마트,이마트,-15000,KRW,신한 Deep Dream 체크,,P082,P082-T0087,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000030;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000030
2026-06-15,10:50,지출,뷰티/미용,화장품,올리브영,-40100,KRW,카카오페이 간편결제,,P082,P082-T0122,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00016
2026-06-15,07:37,지출,교통,대중교통,카카오버스,-9700,KRW,신한 Deep Dream 체크,,P082,P082-T0105,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000034;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000034
2026-06-14,23:22,지출,온라인쇼핑,인터넷쇼핑,11번가,-59000,KRW,신한 Deep Dream 체크,,P082,P082-T0026,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000007;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000007
2026-06-14,23:05,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-53200,KRW,카카오뱅크 입출금통장,,P082,P082-T0017,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200012
2026-06-14,18:49,지출,식비,배달,주식회사 우아한형제들,-21300,KRW,신한 Deep Dream 체크,,P082,P082-T0074,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000024;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000024
2026-06-14,12:46,지출,문화/여가,공연/영화,메가박스,-33300,KRW,카카오페이 간편결제,,P082,P082-T0097,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00012
2026-06-13,23:03,지출,온라인쇼핑,인터넷쇼핑,11번가,-25900,KRW,카카오뱅크 입출금통장,,P082,P082-T0132,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200020
2026-06-13,21:55,지출,식비,한식,두끼 노량진역점,-15500,KRW,신한 Deep Dream 체크,,P082,P082-T0037,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000013;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000013
2026-06-13,20:22,지출,식비,배달,요기요,-17200,KRW,네이버페이 간편결제,,P082,P082-T0128,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00006;efinance/전금-004-네이버페이_머니.json#WP08200003
2026-06-13,12:24,지출,생활,서비스구독,추가 구독 서비스,-11700,KRW,신한 Deep Dream 체크,,P082,P082-T0006,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000002;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000002
2026-06-13,12:13,지출,식비,한식,담소소사골순대,-23000,KRW,신한 Deep Dream 체크,,P082,P082-T0020,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000004;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000004
2026-06-13,09:40,지출,식비,한식,김밥천국 홍대점,-17700,KRW,신한 Deep Dream 체크,,P082,P082-T0015,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000003;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000003
2026-06-12,20:38,지출,생활,편의점,GS25,-14200,KRW,토스 간편결제,,P082,P082-T0088,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00008
2026-06-11,22:32,지출,교통,대중교통,서울교통공사,-8000,KRW,신한 Deep Dream 체크,,P082,P082-T0023,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000006;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000006
2026-06-11,22:07,지출,생활,마트,이마트,-60900,KRW,어피치 스윗 체크카드,,P082,P082-T0043,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000008;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000008
2026-06-11,18:02,지출,뷰티/미용,화장품,올리브영,-28800,KRW,신한 Deep Dream 체크,,P082,P082-T0064,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000020;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000020
2026-06-11,15:06,지출,문화/여가,도서,교보문고,-17500,KRW,신한 Deep Dream 체크,,P082,P082-T0135,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000047;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000047
2026-06-10,23:16,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-65400,KRW,네이버페이 간편결제,,P082,P082-T0124,소비,P082-네이버페이,efinance/전금-103-네이버페이.json#EP082네00005;efinance/전금-004-네이버페이_머니.json#WP08200002
2026-06-10,17:10,지출,패션/쇼핑,패션,지그재그,-31500,KRW,카카오뱅크 입출금통장,,P082,P082-T0073,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200018
2026-06-09,22:02,지출,교통,택시,타다,-12300,KRW,어피치 스윗 체크카드,,P082,P082-T0120,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000029;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000029
2026-06-09,13:52,지출,문화/여가,도서,교보문고,-55700,KRW,신한 Deep Dream 체크,,P082,P082-T0066,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000022;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000022
2026-06-09,12:50,지출,식비,배달,배민스토어,-21800,KRW,신한 Deep Dream 체크,,P082,P082-T0065,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000021;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000021
2026-06-09,12:24,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-53300,KRW,토스 간편결제,,P082,P082-T0075,소비,P082-토스페이,efinance/전금-103-토스페이.json#EP082토00005
2026-06-08,22:17,지출,온라인쇼핑,인터넷쇼핑,11번가,-55000,KRW,어피치 스윗 체크카드,,P082,P082-T0057,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000012;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000012
2026-06-08,21:00,지출,온라인쇼핑,인터넷쇼핑,무신사,-69500,KRW,신한 Deep Dream 체크,,P082,P082-T0098,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000032;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000032
2026-06-08,20:47,지출,식비,한식,한솥도시락 신촌점,-23300,KRW,카카오뱅크 입출금통장,,P082,P082-T0133,소비,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200021
2026-06-08,20:03,수입,금융수입,캐시백,카드 캐시백,416,KRW,카카오뱅크 입출금통장,,P082,P082-T0002,소득,P082-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200002
2026-06-08,13:25,지출,뷰티/미용,화장품,아모레몰,-71500,KRW,어피치 스윗 체크카드,,P082,P082-T0136,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000030;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000030
2026-06-08,12:26,이체,투자,국내주식/ETF,KODEX 반도체 4주 매수,-180100,KRW,카카오뱅크 입출금통장,,P082,P082-T0012,투자,P082-BANK-MAIN->P082-INV-001,bank/은행-004-카카오뱅크_입출금통장_P082-BANK-MAIN.json#BP08200010;invest/금투-003-토스증권_계좌.json#STKP0820002
2026-06-07,14:19,지출,문화/여가,도서,알라딘,-34500,KRW,카카오페이 간편결제,,P082,P082-T0100,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00014
2026-06-07,12:28,지출,온라인쇼핑,인터넷쇼핑,11번가,-74600,KRW,신한 Deep Dream 체크,,P082,P082-T0078,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000025;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000025
2026-06-06,22:49,지출,문화/여가,도서,알라딘,-58500,KRW,어피치 스윗 체크카드,,P082,P082-T0051,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000009;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000009
2026-06-06,21:05,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-55300,KRW,어피치 스윗 체크카드,,P082,P082-T0062,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000013;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000013
2026-06-06,20:57,지출,생활,서비스구독,구독 서비스,-20200,KRW,신한 Deep Dream 체크,,P082,P082-T0005,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000001;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000001
2026-06-06,20:42,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-49000,KRW,카카오페이 간편결제,,P082,P082-T0048,소비,P082-카카오페이,efinance/전금-103-카카오페이.json#EP082카00005;efinance/전금-004-카카오페이_머니.json#WP08200003
2026-06-06,20:25,지출,식비,한식,한솥도시락 신촌점,-16000,KRW,어피치 스윗 체크카드,,P082,P082-T0094,소비,P082-CARD-02,card/카드-008-어피치_스윗_체크카드_승인내역.json#AP082000022;card/카드-014-어피치_스윗_체크카드_매입정보.json#AP082000022
2026-06-06,20:13,지출,온라인쇼핑,인터넷쇼핑,11번가,-40400,KRW,신한 Deep Dream 체크,,P082,P082-T0118,소비,P082-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP082000042;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP082000042
